weekday,weekno,crimedate,DECEPTIVE_PRACTICE,CRIMINAL_DAMAGE,BATTERY,INTERFERENCE_WITH_PUBLIC_OFFICER,OFFENSE_INVOLVING_CHILDREN,SEX_OFFENSE,OTHER_OFFENSE,THEFT,CRIMINAL_TRESPASS,ROBBERY,MOTOR_VEHICLE_THEFT,PUBLIC_PEACE_VIOLATION,WEAPONS_VIOLATION,BURGLARY,INTIMIDATION,LIQUOR_LAW_VIOLATION,ASSAULT,HOMICIDE,PROSTITUTION,GAMBLING,STALKING,KIDNAPPING,ARSON,OBSCENITY,CONCEALED_CARRY_LICENSE_VIOLATION,PUBLIC_INDECENCY,HUMAN_TRAFFICKING,RITUALISM,DOMESTIC_VIOLENCE,NARCOTICS,CRIMINAL_SEXUAL_ASSAULT,NON_CRIMINAL,TOTAL_CRIMES
5,19,2001-05-10,47,145,302,2,8,2,82,252,32,34,55,6,21,71,4,6,86,3,18,3,0,3,0,0,0,0,0,0,0,147,7,0,1336
6,19,2001-05-11,50,161,246,1,6,4,75,284,38,52,67,8,13,80,0,6,86,2,36,7,1,3,3,0,0,0,0,0,0,125,4,0,1358
7,19,2001-05-12,26,169,261,3,4,2,69,250,28,67,60,4,9,63,0,5,82,4,13,5,1,1,1,0,0,0,0,0,0,115,3,0,1245
1,19,2001-05-13,22,184,302,0,6,4,63,220,25,50,62,6,13,57,0,5,72,0,10,1,1,3,5,0,0,0,0,0,0,92,6,0,1209
2,20,2001-05-14,39,150,249,2,6,5,82,265,28,49,85,7,18,71,1,2,89,2,16,2,0,1,3,0,0,0,0,0,0,121,7,0,1300
3,20,2001-05-15,55,135,301,0,8,11,98,288,33,58,55,6,12,67,2,8,107,0,17,7,0,3,5,0,0,0,0,0,0,140,4,0,1420
4,20,2001-05-16,44,122,312,0,6,6,91,249,32,57,64,6,16,70,1,8,115,0,26,3,0,1,2,0,0,0,0,0,0,144,6,0,1381
5,20,2001-05-17,60,135,304,1,4,11,91,257,37,41,73,10,15,77,1,7,109,2,26,2,0,3,2,0,0,0,0,0,0,136,3,0,1407
6,20,2001-05-18,41,171,281,3,6,4,92,311,39,58,82,12,9,58,1,9,93,3,9,6,0,4,2,0,0,0,0,0,0,140,5,0,1439
7,20,2001-05-19,33,171,305,2,8,6,83,260,34,44,82,5,7,59,0,11,73,0,23,3,0,4,4,0,0,0,0,0,0,112,6,0,1335
1,20,2001-05-20,14,162,326,2,3,11,79,246,21,55,87,5,13,50,0,8,90,0,8,1,0,1,7,0,0,0,0,0,0,89,4,0,1282
2,21,2001-05-21,36,146,325,3,4,4,74,312,36,65,78,8,14,82,2,5,107,1,4,0,0,3,1,0,0,0,0,1,0,122,4,0,1437
3,21,2001-05-22,39,138,218,1,6,6,91,266,43,54,74,10,16,62,1,5,86,0,14,1,0,0,5,0,0,0,0,0,0,138,3,0,1277
4,21,2001-05-23,36,133,247,1,4,9,68,278,32,42,63,11,7,76,0,5,80,0,12,3,0,2,2,0,0,0,0,0,0,119,3,0,1233
5,21,2001-05-24,53,141,240,1,3,3,73,283,39,34,74,9,10,72,1,7,108,0,9,1,0,1,2,0,0,0,0,0,0,142,6,0,1312
6,21,2001-05-25,54,154,234,2,6,3,76,260,43,43,78,9,16,82,0,14,96,0,34,3,0,2,3,0,0,0,0,0,0,136,2,0,1350
7,21,2001-05-26,36,133,255,0,9,4,68,257,30,49,74,3,6,55,0,2,64,0,19,0,0,1,3,0,0,0,0,0,0,89,4,0,1161
1,21,2001-05-27,18,157,243,1,11,3,65,228,33,36,80,6,8,59,0,5,60,1,7,5,1,1,2,0,0,0,0,0,0,116,6,0,1152
